"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jun 02 16:34:06 MSK 2023","Fri Jun 02 16:34:07 MSK 2023","507","","OrderTest","","OrderTest","createOrderPositiveTest","createOrderPositiveTest(List) Проверка создания заказа",""
"passed","Fri Jun 02 16:34:05 MSK 2023","Fri Jun 02 16:34:05 MSK 2023","542","","UserTests","","UserTests","invalidLoginTest","invalidLoginTest(String, String) Проверка логина без одного из/ без заполнения обоих полей и с невалидными credentials",""
"passed","Fri Jun 02 16:34:04 MSK 2023","Fri Jun 02 16:34:05 MSK 2023","536","","UserTests","","UserTests","invalidLoginTest","invalidLoginTest(String, String) Проверка логина без одного из/ без заполнения обоих полей и с невалидными credentials",""
"passed","Fri Jun 02 16:34:09 MSK 2023","Fri Jun 02 16:34:10 MSK 2023","1617","","OrderTest","","OrderTest","getUserOrdersTestWithAuth","Проверка получения списка заказов",""
"passed","Fri Jun 02 16:34:11 MSK 2023","Fri Jun 02 16:34:11 MSK 2023","156","","CreateUserParamsTest","","CreateUserParamsTest","createUserNegativeTest","createUserNegativeTest(String, String, String) Проверка создания пользователя без одного из обязательных полей",""
"passed","Fri Jun 02 16:33:55 MSK 2023","Fri Jun 02 16:33:56 MSK 2023","669","","UserTests","","UserTests","invalidLoginTest","invalidLoginTest(String, String) Проверка логина без одного из/ без заполнения обоих полей и с невалидными credentials",""
"passed","Fri Jun 02 16:33:46 MSK 2023","Fri Jun 02 16:33:48 MSK 2023","1953","","UserTests","","UserTests","createUserPositiveTest","Проверка создания пользователя",""
"passed","Fri Jun 02 16:33:48 MSK 2023","Fri Jun 02 16:33:49 MSK 2023","685","","UserTests","","UserTests","loginTest","Проверка входа в аккаунт с валидными credentials",""
"passed","Fri Jun 02 16:34:04 MSK 2023","Fri Jun 02 16:34:04 MSK 2023","609","","UserTests","","UserTests","invalidLoginTest","invalidLoginTest(String, String) Проверка логина без одного из/ без заполнения обоих полей и с невалидными credentials",""
"failed","Fri Jun 02 16:34:08 MSK 2023","Fri Jun 02 16:34:08 MSK 2023","165","","OrderTest","","OrderTest","createOrderNegativeTest","createOrderNegativeTest(String, List, Integer) Проверка невозможности создания заказа без авторизации, ингредиентов. Заказ создается без авторизации",""
"passed","Fri Jun 02 16:33:51 MSK 2023","Fri Jun 02 16:33:52 MSK 2023","510","","UserTests","","UserTests","accessTokenAndGetUserCreatedTest","Проверка получения информации об аккаунте с полученным после регистрации токеном",""
"passed","Fri Jun 02 16:34:08 MSK 2023","Fri Jun 02 16:34:08 MSK 2023","91","","OrderTest","","OrderTest","createOrderNegativeTest","createOrderNegativeTest(String, List, Integer) Проверка невозможности создания заказа без авторизации, ингредиентов. Заказ создается без авторизации",""
"passed","Fri Jun 02 16:34:07 MSK 2023","Fri Jun 02 16:34:07 MSK 2023","677","","OrderTest","","OrderTest","createOrderPositiveTest","createOrderPositiveTest(List) Проверка создания заказа",""
"passed","Fri Jun 02 16:33:51 MSK 2023","Fri Jun 02 16:33:51 MSK 2023","555","","UserTests","","UserTests","editUserWithInvalidToken","editUserWithInvalidToken(String, int) Проверка редактирования пользователя без токена и с невалидным токеном",""
"passed","Fri Jun 02 16:34:05 MSK 2023","Fri Jun 02 16:34:06 MSK 2023","532","","UserTests","","UserTests","createUserWithSimilarLoginTest","Проверка повторного создания пользователя с той же почтой/логином",""
"passed","Fri Jun 02 16:34:11 MSK 2023","Fri Jun 02 16:34:11 MSK 2023","107","","CreateUserParamsTest","","CreateUserParamsTest","createUserNegativeTest","createUserNegativeTest(String, String, String) Проверка создания пользователя без одного из обязательных полей",""
"passed","Fri Jun 02 16:33:56 MSK 2023","Fri Jun 02 16:34:03 MSK 2023","7160","","UserTests","","UserTests","invalidLoginTest","invalidLoginTest(String, String) Проверка логина без одного из/ без заполнения обоих полей и с невалидными credentials",""
